arm	selector	q	top_t	k	split	loss	ckpt	wandb_url
C0_control	tfidf	1.00	32	8	QA	1.9463961124420166	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/e3314ji7
C0_control	tfidf	1.00	32	8	MT	2.32890248298645	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/mvdkekmj
C0_control	tfidf	1.00	32	10	QA	1.968939185142517	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/uw5csy1x
C0_control	tfidf	1.00	32	10	MT	2.319589376449585	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/uz401zy1
C0_control	tfidf	1.00	32	12	QA	1.9560121297836304	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/5sw81jwc
C0_control	tfidf	1.00	32	12	MT	2.2720184326171875	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3m7okqmf
C0_control	tfidf	1.00	32	16	QA	2.034916400909424	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/kz5r8spr
C0_control	tfidf	1.00	32	16	MT	2.330503463745117	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-22-40-continual_am_sparse/6dd8dfd0-a1ae-47e0-bd9d-82c64e7333bd/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/renahlih
Q75	constrained_mass	0.75	32	8	QA	1.9118664264678955	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/i5fxbk37
Q75	constrained_mass	0.75	32	8	MT	2.3287529945373535	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/j8isgtqi
Q75	constrained_mass	0.75	32	10	QA	1.9882663488388062	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/uayfuowx
Q75	constrained_mass	0.75	32	10	MT	2.3586020469665527	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/y6pj9wvj
Q75	constrained_mass	0.75	32	12	QA	2.0291409492492676	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6kcfcs1f
Q75	constrained_mass	0.75	32	12	MT	2.3554306030273438	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/sgkg1gvv
Q75	constrained_mass	0.75	32	16	QA	2.03568434715271	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/d3mg7ljc
Q75	constrained_mass	0.75	32	16	MT	2.330395460128784	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-36-28-continual_am_sparse/825113ac-2620-47fc-96a9-7dce28b48b9b/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/2ddaobsu
Q50	constrained_mass	0.50	32	8	QA	1.923022747039795	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-46-24-continual_am_sparse/34164eb6-0ceb-4628-8002-106bf5066fc7/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/oowwzms2
